,album_name,artist_name,source_countries
79,461 Ocean Boulevard,Eric Clapton,"Argentina, Australia, Austria, Brazil, Canada, Colombia, France, Germany, Greece, India, Indonesia, Ireland, Israel, Italy, Japan, Lebanon, Mexico, Netherlands, New Zealand, Philippines, Portugal, Saudi Arabia, Scandinavia, South Africa, Spain, Taiwan, UK, US, Venezuela, Yugoslavia"
80,4:13 Dream,The Cure,"Argentina, Australasia, Brazil, Canada, Colombia, Europe, Indonesia, Japan, Malaysia, Mexico, Poland, Russia, South Africa, Taiwan, UK, US, Ukraine"
81,4:44,Jay-Z,"Australia, Brazil, Europe, Germany, Japan, Mexico, Taiwan, UK, US, US, Canada, Europe"
82,4eva Is a Mighty Long Time,Big K.R.I.T.,US
83,50 Words for Snow,Kate Bush,"Australia, Canada, Denmark, France, Ireland, Japan, Netherlands, Russia, Taiwan, UK, UK, Europe, US"
84,5150,Van Halen,"Argentina, Australasia, Australia, Brazil, Canada, Chile, Colombia, Ecuador, Europe, German Democratic Republic (GDR), Germany, Greece, Guatemala, Indonesia, Ireland, Italy, Japan, Malaysia, Mexico, New Zealand, Peru, Philippines, Portugal, South Africa, South Korea, Spain, Switzerland, Turkey, UK, Europe, US, Uruguay, Venezuela, Yugoslavia"
85,52nd Street,Billy Joel,"Argentina, Australia, Australia, New Zealand, Brazil, Canada, Colombia, Costa Rica, Europe, Greece, Hong Kong, India, Ireland, Israel, Italy, Japan, Malaysia, Mexico, New Zealand, Peru, Philippines, Poland, Portugal, Rhodesia, South Africa, Spain, Taiwan, UK, US, Venezuela"
86,6 Feet Beneath the Moon,King Krule,"Australia, New Zealand, Europe, Japan, Russia, Taiwan, UK, UK, Europe, UK, US, US"
87,6 Feet Deep,Gravediggaz,"Canada, US"
88,666,Aphrodite's Child,"Canada, France, Germany, Israel, Italy, Japan, Netherlands, New Zealand, UK, US"
89,69 Love Songs,The Magnetic Fields,"Canada, US"
90,7,Beach House,"Australia, France, Japan, UK, UK, France, US"
91,76:14,Global Communication,"Germany, UK, UK, Europe, US"
92,7G,A. G. Cook,UK
93,808s & Heartbreak,Kanye West,"Argentina, Australasia, Australia, Brazil, Canada, Europe, Germany, Indonesia, Japan, Malaysia, Mexico, Philippines, Russia, South Africa, Taiwan, UK, UK, Europe, US, US, Ukraine"
94,90,808 State,"Brazil, Europe"
95,90125,Yes,"Argentina, Australia, Austria, Brazil, Canada, Chile, Ecuador, Europe, France, Germany, Greece, Guatemala, Indonesia, Ireland, Israel, Italy, Japan, Mexico, Netherlands, New Zealand, Panama, Philippines, Portugal, Saudi Arabia, Scandinavia, South Africa, South Korea, Spain, Taiwan, Turkey, UK, UK, Europe, UK, Europe, US, US, Venezuela"
96,93 'Til Infinity,Souls of Mischief,"Canada, Europe, UK, UK, Europe, US"
97,94 Diskont,Oval,US
98,99.9%,Kaytranada,"UK, UK, US, US"
99,?,XXXTentacion,"Europe, US"
100,A Bigger Bang,The Rolling Stones,"Argentina, Australasia, Australia, Brazil, Bulgaria, Canada, Chile, China, Europe, France, Indonesia, Japan, Malaysia, Mexico, Philippines, Russia, South Africa, South Korea, Taiwan, Thailand, Turkey, US, Ukraine"
101,A Blaze in the Northern Sky,Darkthrone,"Brazil, Europe, France, Malaysia, Poland, UK, US"
102,A Brief Inquiry Into Online Relationships,The 1975,"Argentina, Australia, Brazil, Canada, Europe, Japan, South Korea, Taiwan, UK, UK, Europe, US"
103,A Broken Frame,Depeche Mode,"Australia, Australia, New Zealand, Canada, France, Germany, Greece, Hong Kong, Iceland, Ireland, Israel, Italy, Japan, New Zealand, Philippines, Portugal, Scandinavia, South Africa, Sweden, Taiwan, UK, US"
104,A Charlie Brown Christmas,Vince Guaraldi,US
105,A Crow Looked at Me,Mount Eerie,"Japan, US"
106,A Dawn to Fear,Cult of Luna,"Europe, Russia, UK, US"
107,A Day at the Races,Queen,"Australia, Barbados, Brazil, Canada, Chile, Europe, France, Germany, India, Israel, Italy, Mexico, Netherlands, New Zealand, Portugal, Singapore, Malaysia, Hong Kong, South Africa, Spain, Sweden, Taiwan, UK, US"
108,A Deeper Understanding,The War on Drugs,"Australia, Canada, Europe, Japan, UK, Europe, UK, Europe, US, US, US, Canada"
109,A Diabolic Thirst,Spectral Wound,"Brazil, Canada"
110,A Dramatic Turn of Events,Dream Theater,"Argentina, Australia, Brazil, Canada, Chile, Europe, India, Indonesia, Japan, Malaysia, Mexico, Russia, UK, US, Ukraine"
111,A Farewell to Kings,Rush,"Australia, Brazil, Canada, France, Greece, Italy, Japan, Netherlands, New Zealand, Scandinavia, Spain, Taiwan, UK, US"
112,A Fever You Can't Sweat Out,Panic! at the Disco,"Europe, Germany, Japan, Malaysia, Philippines, Singapore, South Africa, US"
113,A Fine Day to Exit,Anathema,"Australia, New Zealand, Europe, Japan, Poland, Russia, UK, US, Ukraine"
114,A Ghost Is Born,Wilco,"Australia, Brazil, Canada, Europe, Japan, US"
115,A Grand Don't Come for Free,The Streets,"Argentina, Australia, Brazil, Canada, Europe, Indonesia, Japan, Russia, South Africa, UK, US"
116,A Hard Day's Night,The Beatles,"Australia, Austria, Belgium, Bolivia, Brazil, Canada, Colombia, Costa Rica, Denmark, Ecuador, Finland, Germany, Greece, India, Ireland, Israel, Italy, Jamaica, Japan, Netherlands, New Zealand, Nigeria, Norway, Philippines, Portugal, Rhodesia, South Africa, Southern Rhodesia, Spain, Sweden, Thailand, Turkey, UK, US"
117,A Head Full of Dreams,Coldplay,"Argentina, Australia, Benelux, Brazil, Canada, Chile, Europe, Indonesia, Israel, Japan, Mexico, Russia, South Africa, Thailand, US, US, Europe"
118,A Hero's Death,Fontaines D.C.,"Australia, Europe, UK, UK, Europe, US, US"
119,A I A: Alien Observer,Grouper,US
120,A I A: Dream Loss,Grouper,US
121,A Kind of Magic,Queen,"Argentina, Australia, Brazil, Canada, Chile, Colombia, Europe, France, German Democratic Republic (GDR), Germany, Greece, Guatemala, India, Indonesia, Ireland, Israel, Italy, Japan, Malaysia, Mexico, Middle East, New Zealand, Panama, Peru, Philippines, Poland, Portugal, Saudi Arabia, Singapore, Malaysia, Hong Kong, South Africa, South Korea, Spain, Syria, Turkey, UK, UK, Europe, UK, Germany, US, Venezuela, Yugoslavia, Zimbabwe"
122,A Laughing Death in Meatspace,Tropical Fuck Storm,"Australia, UK, US, US, Europe"
123,A Little Man and a House and the Whole World Window,Cardiacs,"Netherlands, UK"
124,A Love Supreme,John Coltrane,US
125,A Matter of Life and Death,Iron Maiden,"Argentina, Australasia, Australia, Brazil, Bulgaria, Canada, Chile, China, Europe, India, Indonesia, Japan, Malaysia, Mexico, Philippines, Russia, South Africa, South Korea, Taiwan, Thailand, UK, Europe, UK, Europe, US, US, Ukraine"
126,A Momentary Lapse of Reason,Pink Floyd,"Argentina, Australia, Australia, New Zealand, Bolivia, Brazil, Canada, Chile, Colombia, Costa Rica, Egypt, Europe, France, France, Benelux, Greece, Hong Kong, Hungary, Indonesia, Ireland, Israel, Italy, Japan, Malaysia, Mexico, Netherlands, Peru, Philippines, Portugal, South Africa, South Korea, Spain, Taiwan, Turkey, UK, UK, Europe, US, Uruguay, Venezuela, Yugoslavia, Zimbabwe"
127,A Moon Shaped Pool,Radiohead,"Argentina, Australasia, Australia, New Zealand, Brazil, Canada, Europe, Israel, Japan, Mexico, Russia, South Africa, South Korea, Taiwan, UK, Europe, US, US, US, Canada, Europe"
128,A Natural Disaster,Anathema,"Germany, Austria, Switzerland, Poland, Russia, UK"
129,A New World Record,Electric Light Orchestra,"Australia, Brazil, Canada, Chile, Europe, France, Germany, Greece, India, Ireland, Israel, Japan, Mexico, Netherlands, New Zealand, Portugal, Scandinavia, Spain, Sweden, Taiwan, UK, US, Venezuela"
130,A Night at the Opera,Blind Guardian,"Argentina, Benelux, Brazil, Bulgaria, China, Europe, France, Italy, Japan, Mexico, Poland, Russia, South Korea, Taiwan, Thailand, US, Ukraine"
131,A Night at the Opera,Queen,"Australia, Brazil, Canada, Chile, Colombia, Denmark, Finland, Germany, Greece, India, Ireland, Israel, Japan, Malaysia, Mexico, Mozambique, Netherlands, New Zealand, Peru, Philippines, Portugal, Scandinavia, South Africa, Sweden, Taiwan, UK, US, Uruguay, Zimbabwe"
132,A Northern Soul,The Verve,"Australia, Brazil, Canada, Europe, Italy, South Korea, UK, US"
133,A Passion Play,Jethro Tull,"Angola, Australia, Austria, Brazil, Canada, Denmark, France, Germany, Greece, Italy, Japan, Lebanon, Netherlands, New Zealand, Portugal, South Africa, Spain, Taiwan, Turkey, UK, US, US, Canada, Uruguay, Venezuela"
134,A Piece of Strange,CunninLynguists,"Canada, US"
135,A Place to Bury Strangers,A Place to Bury Strangers,US
136,A Promise,Xiu Xiu,US
137,A Quick One,The Who,"Germany, New Zealand, UK"
138,"A Quiet Farwell, 2016–2018",Slauson Malone,US
139,A Rainbow in Curved Air,Terry Riley,"Canada, France, US"
140,A Rush of Blood to the Head,Coldplay,"Argentina, Australasia, Australia, Brazil, Bulgaria, Canada, China, Colombia, Europe, France, Germany, Hong Kong, India, Indonesia, Israel, Japan, Jordan, Malaysia, Mexico, Middle East, New Zealand, Philippines, Poland, Russia, South Africa, South East Asia, South Korea, Taiwan, Thailand, UK, Europe, US, Ukraine, United Arab Emirates, Venezuela"
141,A Sailor's Guide to Earth,Sturgill Simpson,"Australia, Canada, Europe, US, US, Canada"
142,A Saucerful of Secrets,Pink Floyd,"Canada, France, Germany, Israel, Japan, Netherlands, New Zealand, South Africa, UK, US"
143,A Shadow in Time,William Basinski,US
144,A Sufi and a Killer,Gonjasufi,"Japan, UK"
145,A Sun Came,Sufjan Stevens,US
146,A Sun That Never Sets,Neurosis,"Europe, Japan, US"
147,A Thousand Leaves,Sonic Youth,"Australia, Brazil, Canada, Europe, Japan, Malaysia, Philippines, Poland, Russia, South Korea, UK, US"
148,A Thousand Suns,Linkin Park,"Argentina, Australia, Brazil, Canada, Europe, India, Indonesia, Japan, Mexico, Philippines, Russia, Singapore, South Africa, South Korea, Thailand, UK, US, Ukraine"
149,"A Tiny House, in Secret Speeches, Polar Equals",Sweet Trip,US
150,A Tribute to Jack Johnson,Miles Davis,US
151,A Trick of the Tail,Genesis,"Argentina, Australia, Austria, Brazil, Canada, Chile, Europe, France, Germany, Greece, Ireland, Israel, Italy, Japan, Mexico, Netherlands, New Zealand, Portugal, Scandinavia, South Africa, Spain, Taiwan, UK, US, Uruguay, Venezuela"
152,A Trip to Marineville,Swell Maps,"Italy, UK"
153,A Tábua de Esmeralda,Jorge Ben,Brazil
154,A U R O R A,Ben Frost,"Australia, New Zealand, Europe, Iceland, Japan, UK, UK, Europe, US"
155,A Walk Across the Rooftops,The Blue Nile,"Australia, Canada, Ireland, Italy, New Zealand, UK, US"
156,A Weekend in the City,Bloc Party,"Argentina, Australia, Brazil, Canada, Colombia, Europe, Indonesia, Japan, Philippines, Russia, South Africa, UK, UK, Europe, UK, Ireland, US, Ukraine"
157,A Weird Exits,Thee Oh Sees,"UK, US"
158,A Winged Victory for the Sullen,A Winged Victory for the Sullen,"Europe, US"
159,"A Wizard, a True Star",Todd Rundgren,"Brazil, Canada, France, Germany, Japan, Netherlands, UK, US"
160,A Written Testimony,Jay Electronica,US
161,A.M.,Wilco,"Canada, Europe, Japan, UK, US"
162,AM,Arctic Monkeys,"Argentina, Australia, Brazil, Canada, Colombia, Europe, Indonesia, Japan, Mexico, Poland, Russia, South Africa, South Korea, Thailand, UK, Europe, US, US, Ukraine"
163,ANIMA,Thom Yorke,"Europe, Japan, Mexico, Russia, South Korea, UK, US, US, US, Europe, US, Canada, Europe"
164,ANTI,Rihanna,"Argentina, Australia, Brazil, Europe, Germany, Indonesia, Japan, Malaysia, Mexico, Russia, Taiwan, UK, Europe, US"
165,ARTPOP,Lady Gaga,"Argentina, Australasia, Australia, Brazil, Canada, China, Europe, Greece, Hong Kong, India, Indonesia, Japan, Malaysia, Mexico, Philippines, Poland, Russia, South Africa, South East Asia, South Korea, Taiwan, Thailand, Turkey, US"
166,ATLiens,OutKast,"Canada, Europe, Japan, Poland, US"
167,Aaliyah,Aaliyah,Germany
168,Abacab,Genesis,"Argentina, Australasia, Australia, Austria, Belgium, Bolivia, Brazil, Canada, Ecuador, Europe, France, Germany, Greece, Ireland, Israel, Italy, Japan, Netherlands, New Zealand, Peru, Philippines, Portugal, Scandinavia, Singapore, Malaysia, Hong Kong, South Africa, South Korea, Spain, Syria, UK, US, US, Europe, Uruguay, Venezuela"
169,Abandon All Life,Nails,US
170,Abattoir Blues / The Lyre of Orpheus,Nick Cave & The Bad Seeds,"Australia, Europe, Japan, Russia, Taiwan, US"
171,Abbey Road,The Beatles,"Argentina, Australia, Barbados, Brazil, Canada, Denmark, Egypt, France, Germany, Greece, India, Israel, Italy, Japan, Kenya, Mexico, Netherlands, New Zealand, Nicaragua, Nigeria, Norway, Panama, Philippines, Singapore, Malaysia, Hong Kong, South Africa, Spain, Sweden, Taiwan, Thailand, Turkey, UK, US, Uruguay, Yugoslavia"
172,Abigail,King Diamond,"Brazil, Canada, Europe, Japan, Netherlands, Poland, South Korea, UK, US"
173,Above,Mad Season,"Australia, Brazil, Canada, Europe, Japan, Mexico, Philippines, Poland, South Africa, South Korea, Spain, US"
174,Above the Weeping World,Insomnium,"UK, US"
175,Abraxas,Santana,"Argentina, Australia, Brazil, Canada, Chile, Colombia, Costa Rica, Ecuador, Europe, France, Germany, Greece, Israel, Italy, Japan, Mexico, Netherlands, New Zealand, Peru, South Africa, Spain, Taiwan, UK, US, Venezuela"
176,Absence,Dälek,UK
177,Absolution,Muse,"Argentina, Australia, Australia, New Zealand, Benelux, Brazil, Europe, France, Germany, Hong Kong, Indonesia, Italy, Japan, Malaysia, Poland, Russia, South Africa, South Korea, Turkey, UK, UK, Europe, US, Ukraine"
178,Abyss,Chelsea Wolfe,"Europe, Japan, US"
179,Accelerate,R.E.M.,"Argentina, Australia, Brazil, Canada, Chile, China, Colombia, Europe, Hong Kong, India, Indonesia, Japan, Malaysia, Mexico, Middle East, Russia, Singapore, South Africa, Taiwan, UK, US, Ukraine"
180,Accelerated Evolution,The Devin Townsend Band,"Australia, Canada, Germany, Japan, Russia, South Korea"
181,Ace of Spades,Motörhead,"Australia, Canada, France, Germany, Greece, Ireland, Italy, Netherlands, New Zealand, Spain, Sweden, UK, US"
182,Achtung Baby,U2,"Argentina, Australasia, Australia, Brazil, Canada, Chile, China, Colombia, Costa Rica, Croatia, Czechoslovakia, Europe, France, Germany, Greece, Guatemala, Hong Kong, Indonesia, Israel, Italy, Japan, Malaysia, Mexico, Netherlands, Peru, Philippines, Poland, Portugal, Russia, South Africa, Spain, Thailand, Turkey, UK, UK, Europe, US, Uruguay, Venezuela, Zimbabwe"
183,Acquiring the Taste,Gentle Giant,"Australia, Canada, Germany, Italy, New Zealand, UK, US, Venezuela"
184,Acrobatic Tenement,At the Drive-In,US
185,Actor,St. Vincent,"Australia, France, Japan, Russia, South Africa, Taiwan, UK, UK, US, US, Ukraine"
186,Actually,Pet Shop Boys,"Asia, Australasia, Australia, Bolivia, Brazil, Canada, Chile, Colombia, Egypt, Europe, France, Germany, Greece, Hong Kong, Hungary, India, Indonesia, Ireland, Israel, Italy, Japan, Malaysia, Mexico, Netherlands, New Zealand, Peru, Philippines, Poland, Portugal, Saudi Arabia, Singapore, Singapore, Malaysia, Hong Kong, South Africa, South Korea, Spain, Taiwan, Turkey, UK, US, Uruguay, Venezuela, Yugoslavia, Zimbabwe"
187,Admiral Fell Promises,Sun Kil Moon,US
188,Adolescents,Adolescents,US
189,Adore,The Smashing Pumpkins,"Argentina, Asia, Australia, Brazil, Bulgaria, Canada, Chile, Colombia, Europe, France, Hong Kong, India, Indonesia, Japan, Lebanon, Lithuania, Malaysia, Mexico, Middle East, Philippines, Poland, Russia, South Africa, South Korea, Taiwan, Thailand, UK, UK, Europe, US, Ukraine, Venezuela"
190,Adrenaline,Deftones,"Australia, Brazil, Canada, Europe, Germany, Indonesia, Japan, Malaysia, South Korea, Thailand, US"
191,Adventure,Television,"Australia, Belgium, Brazil, Canada, Colombia, France, Germany, Italy, Japan, Netherlands, New Zealand, South Africa, Spain, UK, US"
192,Aerial,Kate Bush,"Argentina, Australia, Australia, New Zealand, Brazil, Canada, Denmark, Europe, Finland, Germany, Hungary, Indonesia, Japan, Netherlands, Philippines, Russia, South Africa, South Korea, Taiwan, Thailand, UK, UK, Europe, US, Ukraine"
193,Aerosmith,Aerosmith,"Canada, Europe, UK, US"
194,Aethernet,Fax Gang,US
195,Africa / Brass,The John Coltrane Quartet,"Australia, Canada, Germany, Italy, Japan, UK, US"
196,Afrique Victime,Mdou Moctar,"Europe, Japan, US"
197,After Bathing at Baxter's,Jefferson Airplane,"Australia, Canada, France, Germany, New Zealand, UK, US"
198,After Hours,The Weeknd,"Australasia, Brazil, Europe, France, Japan, Mexico, Poland, South Korea, UK, UK, Europe, US, US, US, Canada, UK, Worldwide"
199,After Laughter,Paramore,"Argentina, Australia, Brazil, Canada, Chile, Europe, Japan, South Africa, UK, US, US, Europe"
200,After the Gold Rush,Neil Young,"Australia, Canada, France, Germany, Greece, Italy, Japan, Netherlands, New Zealand, Philippines, South Africa, South Korea, Spain, Taiwan, UK, US, Venezuela"
201,Aftermath,The Rolling Stones,"Australia, Brazil, Canada, Colombia, Greece, Israel, Italy, Mexico, Netherlands, New Zealand, Peru, Rhodesia, South Africa, Spain, Taiwan, UK, UK, Europe, US, Uruguay, Venezuela"
202,Against the Grain,Bad Religion,"Germany, US"
203,Age Of,Oneohtrix Point Never,"Europe, Japan, UK, US"
204,Age of Excuse,Mgła,"Finland, Poland"
205,Agent Orange,Sodom,"Bulgaria, Europe, Germany, Indonesia, Japan, Poland, US"
206,Agents of Fortune,Blue Öyster Cult,"Australia, Canada, Europe, Greece, Ireland, Japan, New Zealand, Spain, UK, UK, Europe, US"
207,Aha Shake Heartbreak,Kings of Leon,"Argentina, Australia, Canada, China, Europe, Germany, Indonesia, Japan, Mexico, Philippines, South Africa, Thailand, UK, Europe, US"
208,Aion,Dead Can Dance,"Benelux, Canada, France, Germany, Greece, Italy, Japan, Poland, Spain, UK"
